sim,radiotype,radio,carrier,mcc,mnc,area,cellid,enbrnc,lcid,xarfcn,unit,band,fc,sigl,asu,signal,lat,lon,acc,time,speed,bearing,alt,api,device,rsrq,rssnr,ss,cqi,ta,rssi_cdma,rssi_evdo,ecio_cdma,ecio_evdo,n_radiotype,n_xarfcn,n_unit,n_band,n_fc,n_signal,n_rsrq
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,57,-83,35.7669005,51.5617634,6.9,1.71844E+12,1.1,141.2,1591,33,Xiaomi_Redmi_Note_8,-12,10,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,58,-82,35.7668599,51.5618083,7.2,1.71844E+12,1.1,141.2,1596.9,33,Xiaomi_Redmi_Note_8,-13,3,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,65,-75,35.7668265,51.5618623,7.6,1.71844E+12,1.1,171.2,1597.3,33,Xiaomi_Redmi_Note_8,-14,15,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,59,-81,35.7667911,51.5618457,7.3,1.71844E+12,0.9,159.4,1597.3,33,Xiaomi_Redmi_Note_8,-14,8,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,58,-82,35.7667573,51.5618314,6.8,1.71844E+12,1.1,213.5,1595.9,33,Xiaomi_Redmi_Note_8,-13,13,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,61,-79,35.7666961,51.5618122,7,1.71844E+12,1.2,153.8,1597.4,33,Xiaomi_Redmi_Note_8,-13,19,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,64,-76,35.7666828,51.5618371,5.6,1.71844E+12,1.1,104.9,1591,33,Xiaomi_Redmi_Note_8,-12,13,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,63,-77,35.7666609,51.5618928,5.7,1.71844E+12,1.1,115.6,1595.9,33,Xiaomi_Redmi_Note_8,-11,14,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,63,-77,35.766643,51.5619542,6.5,1.71844E+12,1.1,109.2,1597.3,33,Xiaomi_Redmi_Note_8,-11,14,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,64,-76,35.766627,51.5620198,7.5,1.71844E+12,1.1,112.8,1597.3,33,Xiaomi_Redmi_Note_8,-11,10,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,57,-83,35.7666068,51.5620786,7.6,1.71844E+12,1.1,118.9,1595.9,33,Xiaomi_Redmi_Note_8,-13,8,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,56,-84,35.7665843,51.5621451,7.7,1.71844E+12,1.1,114,1597.3,33,Xiaomi_Redmi_Note_8,-13,3,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,56,-84,35.7665449,51.5621983,7.2,1.71844E+12,1.2,117.1,1597.3,33,Xiaomi_Redmi_Note_8,-13,3,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,60,-80,35.7665224,51.5622528,7.5,1.71844E+12,1.1,115.8,1591,33,Xiaomi_Redmi_Note_8,-13,12,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,60,-80,35.7664683,51.5622855,8,1.71844E+12,0.8,237.1,1595.9,33,Xiaomi_Redmi_Note_8,-13,12,-1000,-1,-1,,,,,,,,,,,
